sample,cutoff,n_total_sequences,n_unique_sequences
PRKAG2_Tile6_S104,20.818338462984656,82559,1242
PRKAG2_Tile7_S105,33.928704485464294,22235,515
PRKAG2_Tile8_S106,10,37874,1308
PRKAG2_Tile9_S107,10,31496,1232
RAB11B_Tile1_S119,31.64202335855572,89397,892
RAB11B_Tile2_S120,10,39025,1161
RAB11B_Tile3_S121,10,38037,1155
RAB11B_Tile4_S122,20.818338462984656,66418,1145
RAB11B_Tile5_S123,19.415252127127154,50451,857
RAB18_Tile1_S124,16.88639617314164,54906,1074
RAB18_Tile2_S125,10,46799,1049
RAB18_Tile3_S126,15.74830958786789,146186,1119
RAB18_Tile4_S127,22.322821950575225,76839,1154
RAB18_Tile5_S128,10,31161,2040
RAB1A_Tile1_S110,10,6876,565
RAB1A_Tile2_S111,51.56861397769211,34001,527
RAB1A_Tile3_S112,10,31518,1294
RAB1A_Tile4_S113,20.818338462984656,52753,1065
RAB27A_Tile1_S129,10,2538,222
RAB27A_Tile2_S130,18.10672911434034,28945,1163
RAB27A_Tile3_S131,10,16209,1204
RAB27A_Tile4_S132,10,3712,317
RAB27A_Tile5_S133,10,35477,916
RAB7A_Tile1_S114,25.66582069469199,59632,820
RAB7A_Tile2_S115,29.509456886346086,19604,497
RAB7A_Tile3_S116,16.88639617314164,48890,1165
RAB7A_Tile4_S117,23.93603028037436,90999,1082
RAB7A_Tile5_S118,51.56861397769211,137531,856
RAC1_block1_G12C_tile_lib_S3,10,22429,1024
RALA_Tile1_S138,25.66582069469199,65333,786
RALA_Tile2_S139,15.74830958786789,48223,1127
RALA_Tile3_S140,31.64202335855572,83772,1083
RALA_Tile4_S141,10,48959,1130
RALA_Tile5_S142,84.04399167037354,35803,348
RAN_Tile1_S143,10,0,0
RAN_Tile2_S144,31.64202335855572,75683,934
RAN_Tile3_S145,27.520618256912442,91995,951
RAN_Tile4_S146,23.93603028037436,81250,940
RAN_Tile5_S147,10,0,0
RAN_Tile6_S148,10,0,0
RAP1a_Tile1_S149,29.509456886346086,86600,945
RAP1a_Tile2_S150,15.74830958786789,52952,1236
RAP1a_Tile3_S151,25.66582069469199,109513,1182
RAP1a_Tile4_S152,31.64202335855572,89677,917
RHEB_Tile1_S153,23.93603028037436,61778,987
RHEB_Tile2_S154,10,31043,1195
RHEB_Tile3_S155,18.10672911434034,50880,1182
RHEB_Tile4_S156,20.818338462984656,72634,956
RHOA_Tile1_S157,10,0,0
RHOA_Tile2_S158,10,6937,538
RHOA_Tile3_S159,10,44013,1416
RHOA_Tile4_S160,10,39007,1062
RIT_Tile1_S161,25.66582069469199,50969,902
RIT_Tile2_S162,10,8548,636
RIT_Tile3_S163,10,28262,1172
RIT_Tile4_S164,10,0,0
RIT_Tile5_S165,10,0,0
RIT_block1_G30C_tile_lib_S4,15.74830958786789,33276,932
RUNX1_Tile1_S166,36.38063770503799,106124,1034
RUNX1_Tile2_S167,10,52215,1396
RUNX1_Tile3_S168,10,62,4
RUNX1_Tile4_S169,18.10672911434034,16828,681
RUNX1_Tile5_S170,10,23836,1290
RUNX1_Tile6_S171,10,21763,1218
RUNX1_Tile7_S172,10,0,0
RUNX1_Tile8_S173,10,0,0
RUNX1_Tile9_S174,19.415252127127154,51892,1023
Rac1_Tile1_S134,19.415252127127154,48124,1005
Rac1_Tile2_S135,29.509456886346086,18695,509
Rac1_Tile3_S136,10,28784,1211
Rac1_Tile4_S137,22.322821950575225,73809,983
SLC6A8_tile1_lib_S1,168.8639617314163,4079,13
SLC6A8_tile2_lib_S2,18.10672911434034,15292,529
SMAD4_Tile10_S184,10,36155,1256
SMAD4_Tile11_S185,16.88639617314164,40682,1007
SMAD4_Tile1_S175,10,48063,998
SMAD4_Tile2_S176,15.74830958786789,125488,2580
SMAD4_Tile3_S177,10,26227,1246
SMAD4_Tile4_S178,33.928704485464294,23200,539
SMAD4_Tile5_S179,10,38484,1275
SMAD4_Tile6_S180,10,0,0
SMAD4_Tile7_S181,10,0,0
SMAD4_Tile8_S182,10,1213,14
SMAD4_Tile9_S183,10,28370,1264
SMS_Tile1_S186,73.09717793132468,213631,887
SMS_Tile2_S187,18.10672911434034,62807,1123
SMS_Tile3_S188,10,9563,686
SMS_Tile4_S189,29.509456886346086,132301,1174
SMS_Tile5_S190,10,52932,1192
SMS_Tile6_S191,63.57619759994428,237953,1106
SMS_Tile7_S192,25.66582069469199,127813,1184
SMS_Tile8_S193,39.00976532694511,115396,921
STK11_Tile10_S203,119.13018674199007,282981,1007
STK11_Tile11_S204,295.0945688634609,558550,706
STK11_Tile1_S194,181.06729114340328,358288,738
STK11_Tile2_S195,96.630167344161,375487,984
STK11_Tile3_S196,96.630167344161,284366,984
STK11_Tile4_S197,33.928704485464294,132829,1004
STK11_Tile5_S198,44.85175057347919,119972,960
STK11_Tile6_S199,127.73939439540473,388933,1007
STK11_Tile7_S200,25.66582069469199,89517,1000
STK11_Tile8_S201,68.17067278647164,166288,980
STK11_Tile9_S202,41.82889269839806,132150,1042
SUFU_Tile10_S214,68.17067278647164,174953,935
SUFU_Tile1_S205,59.29137466381695,155484,939
SUFU_Tile2_S206,29.509456886346086,109029,1249
SUFU_Tile3_S207,10,49366,1308
SUFU_Tile4_S208,20.818338462984656,73140,1230
SUFU_Tile5_S209,36.38063770503799,127055,1252
SUFU_Tile6_S210,31.64202335855572,141631,1154
SUFU_Tile7_S211,29.509456886346086,121518,1177
SUFU_Tile8_S212,25.66582069469199,85224,1176
SUFU_Tile9_S213,15.74830958786789,51274,1240
TANGO2_Tile1_S215,84.04399167037354,261487,922
TANGO2_Tile2_S216,39.00976532694511,137696,1203
TANGO2_Tile3_S217,23.93603028037436,83823,1219
TANGO2_Tile4_S218,36.38063770503799,115703,1186
TANGO2_Tile5_S219,27.520618256912442,70696,1203
TANGO2_Tile6_S220,41.82889269839806,117756,909
TRIO_tile_lib_S13,10,8706,633
circRNA_architectures_current_hairpin_only_final_S18,55.29533445278263,5858,82
circRNA_architectures_full_order_final_S19,10,18347,1181
